# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 24 19:39:48 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_steff,koi_srad
10905239,K00046.02,Kepler-101 c,CONFIRMED,6.029772410,,,,
7837302,K00048.01,,FALSE POSITIVE,23.836808884,,,,
9527334,K00049.01,Kepler-461 b,CONFIRMED,8.313773040,,,,
6056992,K00051.01,,FALSE POSITIVE,10.431146765,,,,
3558981,K00052.01,,FALSE POSITIVE,2.987862720,,,,
2445975,K00053.01,,FALSE POSITIVE,3.388887193,,,,
8248939,K00061.01,,FALSE POSITIVE,1.633454020,,,,
11554435,K00063.01,Kepler-63 b,CONFIRMED,9.434141710,,,,
7051180,K00064.01,,CANDIDATE,1.951082219,,,,
10223615,K00065.01,,FALSE POSITIVE,27.254719930,,,,
10620329,K00066.01,,FALSE POSITIVE,0.436282594,,,,
8669092,K00068.01,,FALSE POSITIVE,1.000840564,,,,
3544595,K00069.01,Kepler-93 b,CONFIRMED,4.726740370,,,,
6850504,K00070.01,Kepler-20 c,CONFIRMED,10.854095934,,,,
6850504,K00070.02,Kepler-20 b,CONFIRMED,3.696121272,,,,
6850504,K00070.03,Kepler-20 d,CONFIRMED,77.611442700,,,,
6850504,K00070.04,Kepler-20 e,CONFIRMED,6.098556030,,,,
6850504,K00070.05,Kepler-20 f,CONFIRMED,19.577607300,,,,
11904151,K00072.01,Kepler-10 b,CONFIRMED,0.837491225,,,,
11904151,K00072.02,Kepler-10 c,CONFIRMED,45.294222970,,,,
6889235,K00074.01,,FALSE POSITIVE,5.188671659,,,,
7199397,K00075.01,,CANDIDATE,105.881766700,,,,
9955262,K00076.01,,CANDIDATE,77.479470400,,,,
9552608,K00080.01,,CANDIDATE,9.250572762,,,,
8823868,K00081.01,,FALSE POSITIVE,23.876114400,,,,
10187017,K00082.01,Kepler-102 e,CONFIRMED,16.145671932,,,,
10187017,K00082.02,Kepler-102 d,CONFIRMED,10.311747860,,,,
10187017,K00082.03,Kepler-102 f,CONFIRMED,27.453614600,,,,
10187017,K00082.04,Kepler-102 c,CONFIRMED,7.071361190,,,,
10187017,K00082.05,Kepler-102 b,CONFIRMED,5.286919960,,,,
10187017,K00082.06,,FALSE POSITIVE,22.409867700,,,,
2571238,K00084.01,Kepler-19 b,CONFIRMED,9.286964466,,,,
5866724,K00085.01,Kepler-65 c,CONFIRMED,5.859935955,,,,
5866724,K00085.02,Kepler-65 b,CONFIRMED,2.154911236,,,,
5866724,K00085.03,Kepler-65 d,CONFIRMED,8.131213890,,,,
10593626,K00087.01,Kepler-22 b,CONFIRMED,289.864067000,,,,
7700871,K00088.01,,FALSE POSITIVE,5.179688680,,,,
8056665,K00089.01,Kepler-462 b,CONFIRMED,84.687752400,,,,
8056665,K00089.02,,CANDIDATE,207.582930600,,,,
9210823,K00090.01,,FALSE POSITIVE,0.828206212,,,,
7941200,K00092.01,,CANDIDATE,65.704527500,,,,
6462863,K00094.01,Kepler-89 d,CONFIRMED,22.342964828,,,,
6462863,K00094.02,Kepler-89 c,CONFIRMED,10.423677439,,,,
6462863,K00094.03,Kepler-89 e,CONFIRMED,54.319961510,,,,
6462863,K00094.04,Kepler-89 b,CONFIRMED,3.743166733,,,,
5780885,K00097.01,Kepler-7 b,CONFIRMED,4.885488596,,,,
10264660,K00098.01,Kepler-14 b,CONFIRMED,6.790120801,,,,
8505215,K00099.01,,CANDIDATE,2190.701035300,,,,
8505215,K00099.02,,FALSE POSITIVE,79.878049450,,,,
4055765,K00100.01,,CANDIDATE,9.966400400,,,,
8456679,K00102.01,,CANDIDATE,1.735136190,,,,
8456679,K00102.02,,CANDIDATE,4.068449570,,,,
2444412,K00103.01,,CANDIDATE,14.910951770,,,,
10318874,K00104.01,Kepler-94 b,CONFIRMED,2.508057497,,,,
8711794,K00105.01,Kepler-463 b,CONFIRMED,8.981014925,,,,
10489525,K00106.01,,FALSE POSITIVE,1.612249049,,,,
11250587,K00107.01,Kepler-464 b,CONFIRMED,7.256962446,,,,
4914423,K00108.01,Kepler-103 b,CONFIRMED,15.965327180,,,,
4914423,K00108.02,Kepler-103 c,CONFIRMED,179.609803000,,,,
4752451,K00109.01,,FALSE POSITIVE,6.414964530,,,,
9450647,K00110.01,Kepler-465 b,CONFIRMED,9.940666412,,,,
6678383,K00111.01,Kepler-104 b,CONFIRMED,11.427550984,,,,
6678383,K00111.02,Kepler-104 c,CONFIRMED,23.668346350,,,,
6678383,K00111.03,Kepler-104 d,CONFIRMED,51.755305040,,,,
6678383,K00111.04,,FALSE POSITIVE,103.626509220,,,,
10984090,K00112.01,Kepler-466 b,CONFIRMED,51.079264510,,,,
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,,,,
2306756,K00113.01,,FALSE POSITIVE,386.603052800,,,,
6721123,K00114.01,,FALSE POSITIVE,7.361789580,,,,
9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,,,,
9579641,K00115.02,Kepler-105 c,CONFIRMED,7.125943870,,,,
9579641,K00115.03,,CANDIDATE,3.435916310,,,,
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.570782810,,,,
8395660,K00116.02,Kepler-106 e,CONFIRMED,43.844397210,,,,
8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164876000,,,,
8395660,K00116.04,Kepler-106 d,CONFIRMED,23.980085400,,,,
10875245,K00117.01,Kepler-107 e,CONFIRMED,14.749148250,,,,
10875245,K00117.02,Kepler-107 c,CONFIRMED,4.901449760,,,,
10875245,K00117.03,Kepler-107 b,CONFIRMED,3.180027898,,,,
10875245,K00117.04,Kepler-107 d,CONFIRMED,7.958253280,,,,
3531558,K00118.01,Kepler-467 b,CONFIRMED,24.993243190,,,,
9471974,K00119.01,Kepler-108 b,CONFIRMED,49.183941850,,,,
9471974,K00119.02,Kepler-108 c,CONFIRMED,190.320046800,,,,
11869052,K00120.01,,FALSE POSITIVE,20.545237500,,,,
3247396,K00121.01,,FALSE POSITIVE,8.811102200,,,,
8349582,K00122.01,Kepler-95 b,CONFIRMED,11.523067458,,,,
5094751,K00123.01,Kepler-109 b,CONFIRMED,6.481633073,,,,
5094751,K00123.02,Kepler-109 c,CONFIRMED,21.222611950,,,,
11086270,K00124.01,Kepler-110 b,CONFIRMED,12.691043870,,,,
11086270,K00124.02,Kepler-110 c,CONFIRMED,31.719810130,,,,
11449844,K00125.01,Kepler-468 b,CONFIRMED,38.478766290,,,,
5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,33.803643660,,,,
5897826,K00126.02,,CANDIDATE,0.875197345,,,,
8359498,K00127.01,Kepler-77 b,CONFIRMED,3.578780566,,,,
11359879,K00128.01,Kepler-15 b,CONFIRMED,4.942783419,,,,
11974540,K00129.01,Kepler-470 b,CONFIRMED,24.669192732,,,,
11974540,K00129.02,,CANDIDATE,143.211093620,,,,
5297298,K00130.01,,FALSE POSITIVE,34.193600311,,,,
7778437,K00131.01,Kepler-471 b,CONFIRMED,5.014234733,,,,
8892910,K00132.01,,FALSE POSITIVE,10.810132734,,,,
11673674,K00133.01,,FALSE POSITIVE,4.618767792,,,,
9032900,K00134.01,,CANDIDATE,67.592375400,,,,
9818381,K00135.01,Kepler-43 b,CONFIRMED,3.024092505,,,,
7601633,K00136.01,,FALSE POSITIVE,15.663886949,,,,
8644288,K00137.01,Kepler-18 c,CONFIRMED,7.641567589,,,,
8644288,K00137.02,Kepler-18 d,CONFIRMED,14.858908520,,,,
8644288,K00137.03,Kepler-18 b,CONFIRMED,3.504691252,,,,
8506766,K00138.01,,FALSE POSITIVE,48.937868960,,,,
8559644,K00139.01,Kepler-111 c,CONFIRMED,224.778935500,,,,
8559644,K00139.02,Kepler-111 b,CONFIRMED,3.341799486,,,,
5130369,K00140.01,,FALSE POSITIVE,19.978670000,,,,
12105051,K00141.01,,CANDIDATE,2.624234833,,,,
5446285,K00142.01,Kepler-88 b,CONFIRMED,10.916108342,,,,
5446285,K00142.02,,FALSE POSITIVE,339.429340840,,,,
4649305,K00143.01,,FALSE POSITIVE,22.651174510,,,,
4180280,K00144.01,Kepler-472 b,CONFIRMED,4.176254191,,,,
9904059,K00145.01,,FALSE POSITIVE,102.964195200,,,,
9048161,K00146.01,,FALSE POSITIVE,8.667822346,,,,
1996679,K00147.01,,FALSE POSITIVE,145.562492600,,,,
5735762,K00148.01,Kepler-48 b,CONFIRMED,4.778003060,,,,
5735762,K00148.02,Kepler-48 c,CONFIRMED,9.673958488,,,,
5735762,K00148.03,Kepler-48 d,CONFIRMED,42.896450240,,,,
3835670,K00149.01,Kepler-473 b,CONFIRMED,14.557308970,,,,
7626506,K00150.01,Kepler-112 b,CONFIRMED,8.408878137,,,,
7626506,K00150.02,Kepler-112 c,CONFIRMED,28.574269200,,,,
2307199,K00151.01,,CANDIDATE,13.447179100,,,,
8394721,K00152.01,Kepler-79 d,CONFIRMED,52.090816270,,,,
8394721,K00152.02,Kepler-79 c,CONFIRMED,27.402298590,,,,
8394721,K00152.03,Kepler-79 b,CONFIRMED,13.484576680,,,,
8394721,K00152.04,Kepler-79 e,CONFIRMED,81.063789500,,,,
12252424,K00153.01,Kepler-113 c,CONFIRMED,8.925079516,,,,
12252424,K00153.02,Kepler-113 b,CONFIRMED,4.754000720,,,,
9970525,K00154.01,,FALSE POSITIVE,30.009089160,,,,
8030148,K00155.01,Kepler-474 b,CONFIRMED,5.660669429,,,,
10925104,K00156.01,Kepler-114 c,CONFIRMED,8.041347775,,,,
10925104,K00156.02,Kepler-114 b,CONFIRMED,5.188563677,,,,
10925104,K00156.03,Kepler-114 d,CONFIRMED,11.776132317,,,,
6541920,K00157.01,Kepler-11 c,CONFIRMED,13.024933070,,,,
6541920,K00157.02,Kepler-11 d,CONFIRMED,22.687155000,,,,
6541920,K00157.03,Kepler-11 e,CONFIRMED,31.995524850,,,,
6541920,K00157.04,Kepler-11 f,CONFIRMED,46.685620500,,,,
6541920,K00157.05,Kepler-11 g,CONFIRMED,118.378673500,,,,
6541920,K00157.06,Kepler-11 b,CONFIRMED,10.304011320,,,,
10555375,K00158.01,,FALSE POSITIVE,5.801813680,,,,
8972058,K00159.01,Kepler-115 c,CONFIRMED,8.990886210,,,,
8972058,K00159.02,Kepler-115 b,CONFIRMED,2.403640701,,,,
6631721,K00160.01,,FALSE POSITIVE,13.738082490,,,,
5084942,K00161.01,Kepler-475 b,CONFIRMED,3.105507835,,,,
8107380,K00162.01,Kepler-476 b,CONFIRMED,14.006403920,,,,
6851425,K00163.01,Kepler-477 b,CONFIRMED,11.119902800,,,,
5652237,K00164.01,,FALSE POSITIVE,4.464545400,,,,
9527915,K00165.01,Kepler-478 b,CONFIRMED,13.221753580,,,,
2441495,K00166.01,Kepler-479 b,CONFIRMED,12.493407250,,,,
11666881,K00167.01,Kepler-480 b,CONFIRMED,4.919584997,,,,
11512246,K00168.01,Kepler-23 c,CONFIRMED,10.742417650,,,,
11512246,K00168.02,Kepler-23 d,CONFIRMED,15.274438890,,,,
11512246,K00168.03,Kepler-23 b,CONFIRMED,7.106957410,,,,
6185711,K00169.01,,FALSE POSITIVE,11.702196380,,,,
11044770,K00170.01,,FALSE POSITIVE,15.608652440,,,,
7831264,K00171.01,Kepler-116 b,CONFIRMED,5.968724048,,,,
7831264,K00171.02,Kepler-116 c,CONFIRMED,13.071418890,,,,
8692861,K00172.01,Kepler-69 b,CONFIRMED,13.722368200,,,,
8692861,K00172.02,Kepler-69 c,CONFIRMED,242.467406000,,,,
11402995,K00173.01,Kepler-481 b,CONFIRMED,10.060832380,,,,
10810838,K00174.01,Kepler-482 b,CONFIRMED,56.354079160,,,,
8323753,K00175.01,,FALSE POSITIVE,6.714256320,,,,
6442377,K00176.01,Kepler-483 b,CONFIRMED,30.229102740,,,,
6803202,K00177.01,,CANDIDATE,21.060753030,,,,
11455491,K00178.01,,FALSE POSITIVE,6.142814980,,,,
9663113,K00179.01,Kepler-458 c,CONFIRMED,20.740286450,,,,
9663113,K00179.02,Kepler-458 b,CONFIRMED,572.376632000,,,,
9573539,K00180.01,Kepler-484 b,CONFIRMED,10.045563770,,,,
12504988,K00181.01,,FALSE POSITIVE,5.093938816,,,,
5376836,K00182.01,,FALSE POSITIVE,3.479425638,,,,
9651668,K00183.01,Kepler-423 b,CONFIRMED,2.684328541,,,,
7972785,K00184.01,,FALSE POSITIVE,7.300735516,,,,
4178389,K00185.01,,CANDIDATE,23.210509958,,,,
12019440,K00186.01,Kepler-485 b,CONFIRMED,3.243259880,,,,
7023960,K00187.01,,FALSE POSITIVE,30.882538697,,,,
5357901,K00188.01,Kepler-425 b,CONFIRMED,3.797018259,,,,
11391018,K00189.01,Kepler-486 b,CONFIRMED,30.360445359,,,,
5771719,K00190.01,,FALSE POSITIVE,12.264867364,,,,
5972334,K00191.01,Kepler-487 b,CONFIRMED,15.358767771,,,,
5972334,K00191.02,,CANDIDATE,2.418406841,,,,
5972334,K00191.03,,CANDIDATE,0.708621057,,,,
5972334,K00191.04,Kepler-487 c,CONFIRMED,38.652079600,,,,
7950644,K00192.01,Kepler-427 b,CONFIRMED,10.290994129,,,,
10799735,K00193.01,,FALSE POSITIVE,37.590298548,,,,
10904857,K00194.01,Kepler-488 b,CONFIRMED,3.120828136,,,,
11502867,K00195.01,Kepler-426 b,CONFIRMED,3.217518511,,,,
9410930,K00196.01,Kepler-41 b,CONFIRMED,1.855557556,,,,
2987027,K00197.01,Kepler-489 b,CONFIRMED,17.276296682,,,,
10666242,K00198.01,,FALSE POSITIVE,87.242503160,,,,
10019708,K00199.01,Kepler-490 b,CONFIRMED,3.268695042,,,,
10019708,K00199.02,,FALSE POSITIVE,8.784582740,,,,
6046540,K00200.01,Kepler-74 b,CONFIRMED,7.340714946,,,,
6849046,K00201.01,Kepler-491 b,CONFIRMED,4.225384543,,,,
7877496,K00202.01,Kepler-412 b,CONFIRMED,1.720861290,,,,
10619192,K00203.01,Kepler-17 b,CONFIRMED,1.485710994,,,,
9305831,K00204.01,Kepler-44 b,CONFIRMED,3.246732048,,,,
7046804,K00205.01,Kepler-492 b,CONFIRMED,11.720123999,,,,
5728139,K00206.01,Kepler-433 b,CONFIRMED,5.334082429,,,,
3762468,K00208.01,Kepler-493 b,CONFIRMED,3.003879547,,,,
10723750,K00209.01,Kepler-117 c,CONFIRMED,50.790346480,,,,
10723750,K00209.02,Kepler-117 b,CONFIRMED,18.795912760,,,,
10602291,K00210.01,,CANDIDATE,20.927358020,,,,
10656508,K00211.01,,CANDIDATE,124.035899390,,,,
6300348,K00212.01,,CANDIDATE,5.695902020,,,,
9164836,K00213.01,,FALSE POSITIVE,48.118812545,,,,
11046458,K00214.01,Kepler-424 b,CONFIRMED,3.311864148,,,,
12508335,K00215.01,,FALSE POSITIVE,42.943862580,,,,
6152974,K00216.01,Kepler-118 c,CONFIRMED,20.172024672,,,,
6152974,K00216.02,Kepler-118 b,CONFIRMED,7.518545370,,,,
9595827,K00217.01,Kepler-71 b,CONFIRMED,3.905081685,,,,
9838975,K00218.01,,FALSE POSITIVE,18.692860599,,,,
6305192,K00219.01,Kepler-494 b,CONFIRMED,8.025118521,,,,
7132798,K00220.01,Kepler-119 b,CONFIRMED,2.422084188,,,,
7132798,K00220.02,Kepler-119 c,CONFIRMED,4.125119350,,,,
3937519,K00221.01,Kepler-495 b,CONFIRMED,3.413036353,,,,
3937519,K00221.02,,CANDIDATE,5.896619660,,,,
4249725,K00222.01,Kepler-120 b,CONFIRMED,6.312508525,,,,
4249725,K00222.02,Kepler-120 c,CONFIRMED,12.794547400,,,,
4545187,K00223.01,Kepler-121 b,CONFIRMED,3.177414601,,,,
4545187,K00223.02,Kepler-121 c,CONFIRMED,41.008111700,,,,
5547480,K00224.01,,FALSE POSITIVE,3.979867514,,,,
5801571,K00225.01,,FALSE POSITIVE,0.838597429,,,,
5959753,K00226.01,Kepler-496 b,CONFIRMED,8.308653070,,,,
6185476,K00227.01,,CANDIDATE,17.657378380,,,,
3847907,K00229.01,Kepler-497 b,CONFIRMED,3.573202801,,,,
3862246,K00230.01,,FALSE POSITIVE,4.702495974,,,,
4043443,K00231.01,,FALSE POSITIVE,119.840101900,,,,
4833421,K00232.01,Kepler-122 c,CONFIRMED,12.466004437,,,,
4833421,K00232.02,Kepler-122 b,CONFIRMED,5.766165573,,,,
4833421,K00232.03,Kepler-122 d,CONFIRMED,21.587527880,,,,
4833421,K00232.04,Kepler-122 e,CONFIRMED,37.996236900,,,,
4833421,K00232.05,Kepler-122 f,CONFIRMED,56.259088100,,,,
5023956,K00233.01,,FALSE POSITIVE,1.824649000,,,,
8491277,K00234.01,Kepler-498 b,CONFIRMED,9.613753160,,,,
8107225,K00235.01,Kepler-499 b,CONFIRMED,5.632525080,,,,
8453211,K00236.01,,FALSE POSITIVE,5.776759280,,,,
8041216,K00237.01,Kepler-500 b,CONFIRMED,8.508333104,,,,
7219825,K00238.01,Kepler-123 b,CONFIRMED,17.232328940,,,,
7219825,K00238.02,Kepler-123 c,CONFIRMED,26.695194400,,,,
7219825,K00238.03,,CANDIDATE,362.978280000,,,,
6383785,K00239.01,Kepler-501 b,CONFIRMED,5.640676975,,,,
6383785,K00239.02,,CANDIDATE,3.622755060,,,,
8026752,K00240.01,Kepler-502 b,CONFIRMED,4.286866229,,,,
11288051,K00241.01,Kepler-124 c,CONFIRMED,13.821420840,,,,
11288051,K00241.02,Kepler-124 d,CONFIRMED,30.950592700,,,,
11288051,K00241.03,Kepler-124 b,CONFIRMED,3.410459810,,,,
3642741,K00242.01,Kepler-503 b,FALSE POSITIVE,7.258450123,,,,
9592579,K00243.01,,FALSE POSITIVE,2.637574744,,,,
4349452,K00244.01,Kepler-25 c,CONFIRMED,12.720370263,,,,
4349452,K00244.02,Kepler-25 b,CONFIRMED,6.238535444,,,,
8478994,K00245.01,Kepler-37 d,CONFIRMED,39.792200770,,,,
8478994,K00245.02,Kepler-37 c,CONFIRMED,21.301818630,,,,
8478994,K00245.03,Kepler-37 b,CONFIRMED,13.366930900,,,,
8478994,K00245.04,Kepler-37 e,CONFIRMED,51.206903030,,,,
11295426,K00246.01,Kepler-68 A b,CONFIRMED,5.398752862,,,,
11295426,K00246.02,Kepler-68 A c,CONFIRMED,9.605059760,,,,
11852982,K00247.01,,CANDIDATE,13.815044490,,,,
5364071,K00248.01,Kepler-49 b,CONFIRMED,7.203855862,,,,
5364071,K00248.02,Kepler-49 c,CONFIRMED,10.912740650,,,,
5364071,K00248.03,Kepler-49 d,CONFIRMED,2.576571021,,,,
5364071,K00248.04,Kepler-49 e,CONFIRMED,18.596115180,,,,
9390653,K00249.01,Kepler-504 b,CONFIRMED,9.549277089,,,,
9757613,K00250.01,Kepler-26 b,CONFIRMED,12.282998287,,,,
9757613,K00250.02,Kepler-26 c,CONFIRMED,17.251213970,,,,
9757613,K00250.03,Kepler-26 d,CONFIRMED,3.543919702,,,,
9757613,K00250.04,Kepler-26 e,CONFIRMED,46.827677250,,,,
10489206,K00251.01,Kepler-125 b,CONFIRMED,4.164384505,,,,
10489206,K00251.02,Kepler-125 c,CONFIRMED,5.774403260,,,,
11187837,K00252.01,,CANDIDATE,17.604614010,,,,
11752906,K00253.01,,CANDIDATE,6.383159135,,,,
11752906,K00253.02,,CANDIDATE,20.618034800,,,,
5794240,K00254.01,Kepler-45 b,CONFIRMED,2.455240626,,,,
7021681,K00255.01,Kepler-505 b,CONFIRMED,27.521947720,,,,
7021681,K00255.02,,CANDIDATE,13.603208100,,,,
7021681,K00255.03,,FALSE POSITIVE,7.733336100,,,,
11548140,K00256.01,,FALSE POSITIVE,1.378649746,,,,
5514383,K00257.01,Kepler-506 b,CONFIRMED,6.883412780,,,,
11231334,K00258.01,,FALSE POSITIVE,4.157439220,,,,
5790807,K00259.01,,FALSE POSITIVE,79.996233280,,,,
8292840,K00260.01,Kepler-126 b,CONFIRMED,10.495663030,,,,
8292840,K00260.02,Kepler-126 d,CONFIRMED,100.283067500,,,,
8292840,K00260.03,Kepler-126 c,CONFIRMED,21.869657140,,,,
5383248,K00261.01,Kepler-96 b,CONFIRMED,16.238477330,,,,
11807274,K00262.01,Kepler-50 b,CONFIRMED,7.812858620,,,,
11807274,K00262.02,Kepler-50 c,CONFIRMED,9.376637130,,,,
10514430,K00263.01,,FALSE POSITIVE,20.719272230,,,,
3097346,K00264.01,,FALSE POSITIVE,4.029810359,,,,
12024120,K00265.01,Kepler-507 b,CONFIRMED,3.568099612,,,,
7375348,K00266.01,Kepler-508 b,CONFIRMED,25.308935660,,,,
7375348,K00266.02,,CANDIDATE,47.743950900,,,,
8167959,K00267.01,,FALSE POSITIVE,165.755970000,,,,
3425851,K00268.01,,CANDIDATE,110.378382800,,,,
7670943,K00269.01,,CANDIDATE,18.011649740,,,,
6528464,K00270.01,Kepler-449 b,CONFIRMED,12.582298080,,,,
6528464,K00270.02,Kepler-449 c,CONFIRMED,33.672806580,,,,
9451706,K00271.01,Kepler-127 d,CONFIRMED,48.630380500,,,,
9451706,K00271.02,Kepler-127 c,CONFIRMED,29.393371610,,,,
9451706,K00271.03,Kepler-127 b,CONFIRMED,14.435945900,,,,
5716763,K00272.01,,CANDIDATE,1.281328310,,,,
3102384,K00273.01,Kepler-454 b,CONFIRMED,10.573751447,,,,
8077137,K00274.01,Kepler-128 b,CONFIRMED,15.089641500,,,,
8077137,K00274.02,Kepler-128 c,CONFIRMED,22.803025200,,,,
10586004,K00275.01,Kepler-129 b,CONFIRMED,15.791965940,,,,
10586004,K00275.02,Kepler-129 c,CONFIRMED,82.200123900,,,,
11133306,K00276.01,Kepler-509 b,CONFIRMED,41.745988550,,,,
11401755,K00277.01,Kepler-36 c,CONFIRMED,16.231917040,,,,
11401755,K00277.02,Kepler-36 b,CONFIRMED,13.849845670,,,,
12314973,K00279.01,Kepler-450 b,CONFIRMED,28.454890910,,,,
12314973,K00279.02,Kepler-450 c,CONFIRMED,15.413081200,,,,
12314973,K00279.03,Kepler-450 d,CONFIRMED,7.514396700,,,,
4141376,K00280.01,Kepler-1655 b,CONFIRMED,11.872908140,,,,
4143755,K00281.01,Kepler-510 b,CONFIRMED,19.556620030,,,,
5088536,K00282.01,Kepler-130 c,CONFIRMED,27.508715750,,,,
5088536,K00282.02,Kepler-130 b,CONFIRMED,8.457448920,,,,
5088536,K00282.03,Kepler-130 d,CONFIRMED,87.517778700,,,,
5695396,K00283.01,Kepler-131 b,CONFIRMED,16.091963690,,,,
5695396,K00283.02,Kepler-131 c,CONFIRMED,25.517274400,,,,
5695396,K00283.03,,CANDIDATE,9.488147470,,,,
6021275,K00284.01,Kepler-132 d,CONFIRMED,18.010199560,,,,
6021275,K00284.02,Kepler-132 c,CONFIRMED,6.414912770,,,,
6021275,K00284.03,Kepler-132 b,CONFIRMED,6.178173660,,,,
6021275,K00284.04,Kepler-132 e,CONFIRMED,110.286703100,,,,
6196457,K00285.01,Kepler-92 b,CONFIRMED,13.748830590,,,,
6196457,K00285.02,Kepler-92 c,CONFIRMED,26.723169000,,,,
6196457,K00285.03,Kepler-92 d,CONFIRMED,49.356790700,,,,
8258171,K00286.01,,FALSE POSITIVE,23.627222300,,,,
8703887,K00287.01,,FALSE POSITIVE,14.170972781,,,,
9592705,K00288.01,,CANDIDATE,10.275325130,,,,
10386922,K00289.01,,CANDIDATE,26.629419530,,,,
10386922,K00289.02,Kepler-511 b,CONFIRMED,296.637581700,,,,
10488450,K00290.01,,FALSE POSITIVE,2.683395376,,,,
10933561,K00291.01,Kepler-133 c,CONFIRMED,31.517794630,,,,
10933561,K00291.02,Kepler-133 b,CONFIRMED,8.129998580,,,,
11075737,K00292.01,Kepler-97 b,CONFIRMED,2.586639524,,,,
11200415,K00293.01,,FALSE POSITIVE,4.639585980,,,,
11259686,K00294.01,Kepler-512 b,CONFIRMED,34.435938700,,,,
11547513,K00295.01,Kepler-134 b,CONFIRMED,5.317440164,,,,
